date,ue
2006.3135,-0.07656
2006.3162,-0.068781
2006.319,-0.067064
2006.3217,-0.068164
2006.3244,-0.064632
2006.3272,-0.071337
2006.3299,-0.06983
2006.3326,-0.069207
2006.3354,-0.077927
2006.3381,-0.069903
2006.3409,-0.069913
2006.3436,-0.069714
2006.3463,-0.070148
2006.3491,-0.072241
2006.3518,-0.076182
2006.3546,-0.069958
2006.3573,-0.070967
2006.36,-0.069488
2006.3628,-0.066531
2006.3655,-0.069966
2006.3682,-0.070386
2006.371,-0.076663
2006.3737,-0.067201
2006.3765,-0.071475
2006.3792,-0.068826
2006.3819,-0.071023
2006.3847,-0.072444
2006.3874,-0.079326
2006.3901,-0.074671
2006.3929,-0.071378
2006.3956,-0.076016
2006.3984,-0.076016
2006.4011,-0.072882
2006.4038,-0.072837
2006.4066,-0.074401
2006.4093,-0.069427
2006.412,-0.070567
2006.4148,-0.07437
2006.4175,-0.072617
2006.4203,-0.073169
2006.423,-0.067649
2006.4257,-0.076874
2006.4285,-0.076752
2006.4312,-0.073791
2006.4339,-0.076398
2006.4367,-0.071948
2006.4394,-0.074422
2006.4422,-0.076175
2006.4449,-0.07346
2006.4476,-0.0735
2006.4504,-0.076641
2006.4531,-0.072168
2006.4559,-0.070199
2006.4586,-0.073953
2006.4613,-0.074556
2006.4641,-0.07378
2006.4695,-0.076587
2006.4723,-0.083231
2006.4805,-0.071794
2006.4832,-0.078817
2006.486,-0.081621
2006.4887,-0.074205
2006.4914,-0.080764
2006.4942,-0.075712
2006.4969,-0.072921
2006.4997,-0.071716
2006.5024,-0.069182
2006.5051,-0.074718
2006.5079,-0.073283
2006.5106,-0.075179
2006.5133,-0.073312
2006.5161,-0.071532
2006.5188,-0.071315
2006.5216,-0.079531
2006.5243,-0.069193
2006.527,-0.070843
2006.5298,-0.071108
2006.5325,-0.070516
2006.5352,-0.073373
2006.538,-0.07311
2006.5407,-0.079336
2006.5435,-0.071954
2006.5462,-0.074664
2006.5489,-0.071018
2006.5517,-0.068104
2006.5544,-0.06567
2006.5599,-0.068359
2006.5626,-0.064674
2006.5654,-0.066665
2006.5681,-0.069649
2006.5708,-0.071287
2006.5736,-0.071923
2006.5763,-0.072456
2006.5791,-0.06978
2006.5818,-0.070934
2006.5845,-0.072341
2006.5873,-0.072303
2006.59,-0.07668
2006.5927,-0.070719
2006.5955,-0.072674
2006.5982,-0.076253
2006.601,-0.074267
2006.6037,-0.070942
2006.6064,-0.069788
2006.6092,-0.075579
2006.6119,-0.075189
2006.6146,-0.074278
2006.6174,-0.079445
2006.6201,-0.075237
2006.6229,-0.076588
2006.6256,-0.078988
2006.6283,-0.076195
2006.6311,-0.07366
2006.6338,-0.072848
2006.6366,-0.071862
2006.6393,-0.076402
2006.642,-0.073321
2006.6448,-0.078011
2006.6475,-0.083538
2006.6502,-0.074932
2006.653,-0.073456
2006.6557,-0.076021
2006.6585,-0.076092
2006.6639,-0.075963
2006.6667,-0.076517
2006.6694,-0.07639
2006.6721,-0.075147
2006.6749,-0.074102
2006.6776,-0.07509
2006.6804,-0.075667
2006.6831,-0.074961
2006.6858,-0.074544
2006.6886,-0.072947
2006.6913,-0.071648
2006.694,-0.075537
2006.6968,-0.076854
2006.7023,-0.07328
2006.705,-0.073339
2006.7077,-0.073247
2006.7105,-0.074637
2006.7132,-0.076831
2006.7159,-0.076891
2006.7187,-0.077295
2006.7214,-0.077996
2006.7269,-0.07692
2006.7296,-0.077454
2006.7324,-0.084807
2006.7351,-0.076975
2006.7379,-0.076596
2006.7406,-0.078455
2006.7433,-0.076685
2006.7461,-0.076735
2006.7488,-0.080712
2006.7543,-0.07792
2006.757,-0.077088
2006.7598,-0.07575
2006.7625,-0.072348
2006.7652,-0.07069
2006.768,-0.073054
2006.7707,-0.075243
2006.7734,-0.073442
2006.7762,-0.076523
2006.7789,-0.074673
2006.7817,-0.075949
2006.7844,-0.068893
2006.7871,-0.078234
2006.7899,-0.0702
2006.7926,-0.069887
2006.7953,-0.071552
2006.7981,-0.076135
2006.8008,-0.08361
